,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,temp
343,0,0,0,0,0,7
344,0,0,0,1,1,12
345,1,1,1,0,1,11
346,1,0,0,0,1,2
347,1,0,1,0,1,10
348,1,0,0,1,0,14
349,1,0,1,1,1,7
350,1,1,0,1,0,22
351,1,0,1,0,0,3
352,1,0,1,1,0,15
353,0,1,0,0,0,10
354,1,1,0,1,0,23
355,1,1,1,0,0,23
356,0,0,0,0,1,13
357,1,0,0,0,0,0
358,1,1,0,1,1,11
359,0,1,0,1,1,8
360,1,0,1,1,0,9
361,0,0,1,0,1,13
362,1,1,0,0,0,10
363,1,0,1,1,1,4
364,1,0,1,1,0,3
365,1,1,1,0,0,10
366,1,0,1,1,1,18
367,1,1,1,0,1,11
368,0,1,0,1,0,9
369,0,1,1,1,1,9
370,1,0,1,1,1,21
371,1,0,0,0,0,17
372,1,0,1,1,0,20
373,0,0,0,1,1,7
374,1,0,0,1,0,2
375,1,1,0,1,0,0
376,1,1,1,0,0,24
377,1,1,0,0,1,6
378,0,1,0,0,0,6
379,0,1,1,1,0,11
380,0,1,0,1,0,10
381,1,0,1,0,0,1
382,0,0,1,0,1,14
383,1,1,1,1,1,16
384,0,1,0,1,0,5
385,1,0,0,1,0,9
386,0,1,1,1,0,5
387,1,0,1,0,1,13
388,0,0,1,1,1,12
389,1,1,1,0,1,9
390,1,0,0,1,0,23
391,1,0,1,1,1,20
392,1,1,0,1,0,15
393,0,0,0,1,0,6
394,1,1,1,0,0,24
395,1,0,0,0,0,12
396,0,1,1,1,0,5
397,0,1,1,1,0,3
398,1,0,1,0,1,9
399,0,0,0,1,1,9
400,0,0,1,1,1,10
401,0,0,0,1,1,7
402,0,0,1,0,1,22
403,0,1,1,0,0,16
404,1,1,1,0,0,21
405,1,1,0,0,0,11
406,1,0,0,1,0,3
407,1,1,0,0,1,9
408,1,0,1,0,0,2
409,0,1,0,0,0,11
410,0,0,0,0,0,19
411,0,1,0,0,1,22
412,1,1,1,1,0,16
413,1,0,0,1,0,18
414,0,0,1,1,0,17
415,0,0,0,0,0,24
416,0,0,1,1,0,18
417,0,1,1,1,0,3
418,1,0,0,0,0,9
419,1,1,0,0,1,9
420,0,1,1,1,0,24
421,0,1,0,1,1,2
422,0,0,1,1,0,0
423,1,1,0,1,1,18
424,1,0,0,1,0,16
425,1,0,0,0,1,11
426,1,1,1,1,0,13
427,0,1,0,0,1,4
428,0,1,1,0,1,4
429,0,0,1,0,1,18
430,0,1,1,0,0,17
431,0,0,1,1,1,22
432,0,1,1,1,0,15
433,0,1,0,1,0,2
434,0,1,1,1,1,21
435,1,1,0,1,1,23
436,1,1,0,0,0,15
437,1,1,0,1,0,7
438,0,1,0,1,1,5
439,0,0,0,0,1,23
440,0,1,0,1,0,20
441,1,1,1,0,0,15
442,0,0,0,1,0,11
443,0,1,1,0,0,22
444,1,0,0,0,0,13
445,1,0,0,0,1,11
446,1,1,1,0,1,17
447,0,1,0,0,0,11
448,0,1,0,1,1,22
449,0,0,0,1,1,11
450,0,1,1,1,0,23
451,1,0,1,0,0,2
452,1,1,0,1,0,12
453,0,1,1,0,0,19
454,0,1,1,0,1,14
455,0,1,0,1,0,23
456,0,0,1,0,1,16
457,1,1,0,1,1,8
458,1,1,1,0,1,3
459,0,1,0,0,0,16
460,1,0,1,1,0,22
461,1,0,0,1,0,18
462,1,1,0,1,0,21
463,0,0,1,0,1,2
464,0,1,1,1,1,5
465,1,1,1,1,0,24
466,0,0,1,0,1,2
467,0,0,1,1,0,23
468,1,0,0,0,1,6
469,0,0,0,1,1,19
470,1,0,1,1,0,6
471,0,1,1,1,0,5
472,0,1,0,0,1,8
473,0,1,1,0,1,15
474,0,0,1,1,0,4
475,1,1,0,0,1,8
476,0,0,1,0,0,8
477,1,1,0,0,1,7
478,1,1,0,1,0,8
479,0,0,0,0,1,11
480,1,1,0,0,1,1
481,0,0,0,1,0,5
482,0,0,0,0,0,3
483,0,1,1,1,0,22
484,1,1,1,1,0,7
485,0,0,1,0,1,2
486,0,0,0,0,1,3
487,0,1,1,1,0,23
488,1,1,0,0,0,2
489,0,0,0,1,1,24
490,0,0,0,1,1,16
491,0,0,0,1,1,3
492,1,0,1,1,0,6
493,0,1,1,0,1,15
494,0,0,1,0,0,6
495,1,1,0,1,1,14
496,1,0,1,1,0,17
497,0,0,1,0,1,17
498,0,0,1,0,0,14
499,1,1,0,0,0,9
500,1,1,0,1,1,2
501,1,1,0,1,1,3
502,0,0,0,0,1,8
503,0,1,0,1,0,2
504,0,1,1,1,1,6
505,1,1,1,1,1,6
506,0,0,0,0,0,6
507,0,0,0,1,1,2
508,1,0,1,1,1,21
509,0,0,0,0,0,9
510,1,1,1,1,1,10
511,1,0,0,0,0,7
512,1,1,0,1,0,16
513,1,1,0,0,1,10
514,0,1,0,1,1,13
515,1,1,1,1,0,5
516,1,0,0,0,0,7
517,0,1,0,1,1,14
518,0,0,0,0,1,19
519,1,0,0,0,1,12
520,0,0,0,1,1,15
521,0,1,0,0,1,4
522,1,1,0,1,1,0
523,1,0,1,0,0,1
524,0,1,1,1,0,6
525,1,1,0,0,1,12
526,1,0,0,1,1,18
527,1,1,0,0,1,16
528,1,0,0,1,1,11
529,0,0,0,0,0,6
530,1,1,1,0,0,12
531,1,0,1,0,1,9
532,0,0,1,1,1,5
533,0,1,0,0,0,24
534,0,1,0,1,0,24
535,1,0,1,1,1,0
536,0,0,1,0,1,10
537,1,1,0,0,1,7
538,0,1,1,0,1,4
539,1,1,0,1,1,18
540,1,1,0,0,0,9
541,0,1,1,0,1,20
542,0,0,1,0,1,2
543,0,0,0,1,1,4
544,0,1,1,1,1,19
545,0,0,0,1,1,0
546,1,0,1,0,0,22
547,0,0,0,1,0,24
548,1,1,1,1,0,8
549,1,1,0,0,0,8
550,0,1,0,0,0,20
551,1,0,0,1,0,23
552,0,1,0,0,0,16
553,1,1,0,1,1,17
554,1,1,0,0,0,0
555,1,0,0,1,0,14
556,0,1,1,0,1,19
557,1,0,1,0,1,5
558,1,1,0,0,1,11
559,1,0,1,0,0,10
560,0,0,1,0,0,15
561,0,1,1,0,1,2
562,1,0,1,1,1,14
563,1,0,1,1,0,21
564,0,0,1,0,0,17
565,0,1,0,0,0,23
566,0,1,1,1,0,23
567,1,1,1,0,1,24
568,0,1,0,1,1,1
569,1,0,1,0,1,16
570,0,1,0,1,0,22
571,1,0,0,0,1,1
572,1,1,0,0,0,22
573,1,1,1,1,1,10
574,0,1,0,0,0,2
575,0,0,0,0,1,21
576,1,1,0,0,0,24
577,1,1,1,1,0,4
578,0,1,1,0,1,14
579,0,1,1,0,1,17
580,0,1,1,0,0,10
581,0,0,1,1,0,21
582,0,1,1,0,1,5
583,1,0,1,0,1,3
584,1,1,0,1,0,17
585,0,0,1,1,0,13
586,0,0,1,0,1,7
587,1,1,0,1,1,17
588,0,1,0,1,1,9
589,0,0,1,1,0,2
590,0,1,0,0,0,8
591,0,0,1,1,1,4
592,1,1,0,1,1,23
593,1,1,1,1,1,2
594,0,1,0,0,1,22
595,0,0,0,0,0,8
596,0,1,1,0,0,20
597,1,1,0,0,0,8
598,0,1,1,0,0,14
599,0,1,1,0,1,9
600,1,0,0,1,1,1
601,0,1,1,0,1,14
602,1,1,0,1,0,6
603,0,1,1,0,0,10
604,1,1,0,0,0,3
605,0,0,0,1,1,24
606,0,1,1,0,1,23
607,1,0,1,0,0,5
608,1,1,1,1,0,14
609,1,1,1,1,1,6
610,1,0,1,1,1,17
611,0,0,0,0,0,14
612,0,0,0,1,1,9
613,1,1,1,1,1,9
614,0,0,0,1,0,21
615,1,1,1,1,1,23
616,0,0,1,0,0,6
617,1,1,0,0,0,23
618,0,0,0,0,0,3
619,1,1,0,1,1,22
620,1,1,1,1,1,19
621,1,0,0,1,1,12
622,0,0,0,1,1,24
623,0,1,1,1,1,11
624,0,1,1,1,1,3
625,1,1,1,1,1,19
626,0,1,1,0,1,11
627,1,0,0,0,0,14
628,0,0,1,0,0,7
629,0,1,0,0,0,0
630,1,1,0,1,0,21
631,1,0,0,0,1,21
632,1,0,1,0,0,1
633,0,0,1,0,0,23
634,0,1,1,0,1,11
635,1,1,0,0,1,16
636,0,0,0,1,1,18
637,1,0,0,1,1,11
638,0,1,1,1,1,7
639,1,0,1,0,0,5
640,0,1,1,0,1,5
641,0,1,0,0,0,18
642,1,0,0,0,1,1
643,1,1,1,0,0,19
644,0,1,0,0,0,18
645,0,0,0,0,0,1
646,1,1,1,1,0,17
647,0,1,0,0,1,12
648,1,0,1,0,1,24
649,0,0,0,0,1,17
650,1,1,0,0,0,5
651,0,0,0,1,1,24
652,1,0,1,0,1,11
653,1,0,1,1,0,17
654,1,0,1,1,1,14
655,0,0,1,0,0,21
656,1,0,1,1,1,20
657,1,0,1,1,1,16
658,1,0,1,0,0,17
659,0,0,0,1,1,3
660,0,1,1,1,1,7
661,0,0,0,1,0,7
662,1,0,0,1,1,18
663,1,0,1,0,0,2
664,0,0,1,0,1,3
665,0,1,0,0,1,16
666,0,1,0,1,1,13
667,0,0,0,1,1,22
668,0,0,0,0,0,18
669,1,1,0,0,0,0
670,0,1,1,1,0,9
671,1,1,1,0,1,10
672,0,0,0,1,1,8
673,1,1,0,0,0,9
674,0,0,1,1,1,23
675,1,0,1,0,0,24
676,0,1,1,0,0,13
677,1,0,1,1,0,11
678,0,1,0,1,1,0
679,1,1,1,0,1,22
680,0,1,0,1,1,4
681,1,0,1,0,0,1
682,0,1,1,1,0,4
683,0,0,1,0,0,17
684,0,1,1,1,0,24
685,1,0,1,0,1,21
686,0,1,0,1,0,3
687,0,1,1,1,0,0
688,0,1,1,0,1,0
689,0,1,0,0,1,7
690,1,0,0,0,1,7
691,0,1,1,1,1,5
692,0,1,1,0,1,1
693,1,1,0,0,0,0
694,1,1,1,0,1,12
695,1,0,0,1,1,24
696,1,0,0,1,0,23
697,1,1,1,1,0,23
698,1,0,0,1,0,21
699,1,1,1,0,0,3
700,0,0,1,1,0,11
701,0,0,0,0,1,10
702,1,0,1,0,0,7
703,0,0,0,0,1,0
704,0,1,0,1,0,12
705,1,1,0,0,1,8
706,1,1,0,1,0,20
707,1,0,0,0,0,3
708,0,1,0,0,1,6
709,0,1,1,1,0,13
710,0,1,1,0,1,7
711,0,0,0,1,0,22
712,0,0,1,1,1,12
713,1,0,1,0,0,7
714,0,1,0,1,0,0
715,1,0,1,0,1,9
716,1,1,0,0,0,11
717,0,0,0,0,0,15
718,1,1,1,1,0,4
719,1,0,1,0,1,12
720,0,1,1,0,1,3
721,0,1,0,1,1,15
722,0,0,1,1,0,0
723,0,0,0,0,0,12
724,1,1,0,1,1,24
725,1,1,1,0,1,10
726,1,1,1,1,0,23
727,0,0,1,1,0,23
728,0,1,1,0,1,7
729,0,0,0,0,1,9
730,0,1,1,1,0,1
731,0,0,1,1,0,17
732,1,1,1,0,1,11
733,1,1,1,1,1,11
734,1,1,1,1,0,24
735,1,1,1,0,1,6
736,0,0,1,0,1,11
737,0,0,0,0,0,14
738,0,0,0,1,0,10
739,0,0,0,0,0,13
740,0,1,0,0,1,7
741,0,0,1,0,1,20
742,0,1,1,0,0,3
743,0,1,0,0,0,14
744,1,0,0,0,1,6
745,1,0,1,1,0,7
746,0,1,0,1,0,13
747,0,1,0,0,1,7
748,0,0,1,1,1,2
749,1,1,0,1,0,13
750,0,0,1,0,1,6
751,1,0,1,0,1,7
752,0,0,1,1,0,20
753,1,1,1,1,0,14
754,1,0,0,1,1,2
755,0,0,1,0,1,1
756,0,0,1,1,1,5
757,1,0,0,1,0,12
758,0,0,0,1,0,7
759,0,0,1,1,1,18
760,0,0,0,1,0,18
761,0,0,0,1,0,16
762,0,0,1,0,0,3
763,1,0,1,0,1,14
764,1,0,1,0,1,22
765,1,0,1,0,0,20
766,1,0,0,1,1,0
767,0,0,1,1,1,12
768,0,0,0,1,0,1
769,1,0,1,1,1,19
770,0,0,0,1,1,15
771,0,0,1,1,1,15
772,1,1,1,0,1,22
773,0,1,1,1,1,3
774,0,0,1,1,1,3
775,1,1,0,1,1,12
776,1,1,1,0,1,7
777,1,0,0,1,1,15
778,0,0,0,0,1,14
779,1,1,1,1,1,13
780,0,0,0,1,1,12
781,0,1,1,1,0,24
782,1,0,1,1,0,22
783,0,1,1,0,0,6
784,0,1,1,0,0,17
785,0,0,0,0,1,1
786,0,1,1,1,1,1
787,1,1,1,0,0,9
788,1,0,0,0,0,18
789,1,0,0,0,1,5
790,1,1,1,1,0,23
791,0,0,1,1,0,8
792,1,0,1,0,1,16
793,0,1,1,0,0,4
794,1,1,1,0,1,13
795,1,1,0,0,0,5
796,0,0,1,0,0,4
797,0,0,1,0,1,5
798,1,1,1,0,1,4
799,1,0,0,1,1,6
800,0,0,0,0,1,21
801,1,0,0,1,0,15
802,0,0,0,0,1,22
803,1,1,1,0,1,10
804,0,0,1,1,0,2
805,1,0,1,0,0,15
806,1,0,0,1,0,1
807,0,1,1,1,1,19
808,1,0,1,1,0,12
809,1,0,0,0,0,11
810,0,1,1,1,1,16
811,0,0,0,1,0,19
812,1,1,0,1,0,19
813,0,0,0,1,1,14
814,1,1,0,1,0,4
815,0,1,0,1,0,16
816,0,0,1,0,0,2
817,1,0,0,0,1,5
818,0,1,0,0,1,17
819,1,0,0,0,1,23
820,1,1,1,0,1,4
821,0,1,1,0,0,8
822,0,0,0,0,1,3
823,0,1,1,0,1,6
824,1,1,0,1,1,1
825,1,0,0,1,0,16
826,0,0,0,1,1,6
827,1,0,1,1,1,16
828,1,0,0,1,1,10
829,1,0,0,1,1,4
830,1,1,0,0,1,15
831,1,1,0,1,0,9
832,0,0,1,1,1,13
833,0,0,1,1,0,18
834,1,0,0,1,0,23
835,1,1,1,0,0,7
836,0,1,0,0,1,5
837,1,1,0,1,1,15
838,1,1,0,1,1,19
839,0,0,0,1,1,19
840,0,1,0,1,1,20
841,0,0,1,0,1,3
842,0,0,1,1,1,24
843,0,1,1,1,1,22
844,0,0,1,0,0,10
845,0,0,0,1,1,17
846,1,1,1,0,1,21
847,0,1,0,0,0,7
848,0,0,1,0,0,3
849,1,0,1,1,1,18
850,1,0,1,1,1,6
851,0,0,1,1,1,23
852,0,0,0,0,0,24
853,1,1,0,1,1,14
854,1,1,1,0,0,20
855,0,1,1,1,1,1
856,1,0,1,0,0,15
857,0,0,0,1,1,3
858,0,0,1,0,0,3
859,1,0,1,1,0,21
860,0,0,0,0,0,9
861,1,1,1,0,0,4
862,0,1,1,1,1,18
863,1,0,1,0,0,22
864,0,1,0,1,1,13
865,1,0,1,0,0,7
866,0,1,1,0,0,15
867,1,1,1,0,0,15
868,1,1,0,0,0,9
869,0,1,1,0,1,23
870,0,1,0,0,1,7
871,1,1,0,0,1,4
872,0,1,0,1,0,1
873,1,0,0,1,1,8
874,1,0,1,0,1,22
875,1,1,0,0,1,22
876,1,1,0,1,0,16
877,1,1,1,1,0,8
878,1,1,0,1,1,15
879,0,1,0,1,1,9
880,0,1,0,1,1,8
881,1,0,1,1,1,20
882,1,0,0,0,1,20
883,0,1,0,1,0,13
884,0,1,0,0,1,8
885,1,0,0,1,1,22
886,0,0,0,1,0,17
887,0,0,1,1,1,2
888,1,0,0,0,0,15
889,0,0,1,1,0,22
890,0,0,1,1,0,13
891,0,1,1,0,0,3
892,1,1,0,0,1,15
893,0,1,1,0,0,6
894,1,1,0,0,0,3
895,0,0,1,0,1,10
896,1,0,0,0,1,8
897,0,0,1,1,1,3
898,1,0,0,0,1,19
899,0,1,0,1,0,15
900,0,1,0,1,0,19
901,1,0,1,0,1,13
902,1,0,0,1,1,5
903,0,1,0,1,0,12
904,1,0,0,1,0,8
905,0,1,1,1,0,17
906,0,0,1,0,1,9
907,0,1,1,1,1,24
908,1,1,0,0,1,23
909,0,0,1,1,1,1
910,0,0,1,1,1,23
911,0,0,0,0,0,24
912,1,0,1,1,0,19
913,1,1,1,0,1,4
914,1,1,0,0,0,16
915,1,0,1,1,0,18
916,1,1,0,0,1,14
917,0,1,0,1,0,15
918,1,0,0,0,1,11
919,1,0,0,1,1,1
920,0,1,0,0,0,9
921,0,0,0,1,1,24
922,1,1,1,0,1,7
923,0,0,0,0,0,7
924,0,0,1,1,1,24
925,0,1,0,1,0,16
926,0,0,0,1,1,24
927,1,1,0,1,0,16
928,1,0,1,1,0,8
929,0,1,1,0,0,17
930,0,0,1,0,1,12
931,0,1,0,0,1,15
932,0,1,1,0,1,8
933,0,1,1,1,1,21
934,0,1,0,0,0,13
935,1,1,1,0,0,12
936,0,0,0,0,1,7
937,1,1,1,0,0,16
938,1,0,0,1,0,2
939,0,1,0,1,0,21
940,1,1,0,1,1,19
941,1,0,0,1,1,19
942,0,0,0,1,0,3
943,1,0,1,0,0,11
944,0,0,1,1,0,21
945,0,0,1,0,0,8
946,0,1,0,0,1,15
947,1,1,0,0,1,8
948,0,1,1,1,1,0
949,1,1,0,1,1,10
950,1,1,0,0,0,9
951,0,1,1,1,1,4
952,0,0,1,0,1,3
953,0,0,0,1,1,14
954,1,1,1,0,0,19
955,1,0,0,0,0,18
956,0,0,0,1,0,11
957,1,0,0,0,1,19
958,0,0,0,0,0,18
959,1,1,0,1,1,15
960,1,1,1,0,1,21
961,1,1,0,0,1,5
962,0,0,0,0,0,8
963,1,0,1,1,0,12
964,0,1,1,1,1,18
965,1,1,1,1,1,12
966,0,1,1,0,1,8
967,1,1,1,1,0,1
968,1,1,0,0,1,3
969,1,0,1,0,1,1
970,0,1,0,0,1,4
971,1,0,1,0,1,4
972,0,0,0,0,0,23
973,0,0,1,0,0,2
974,1,0,0,0,0,8
975,0,1,1,0,0,18
976,0,1,0,1,0,20
977,1,0,0,1,1,9
978,1,0,1,0,1,13
979,1,0,0,1,0,22
980,0,0,0,1,1,9
981,1,0,1,1,1,7
982,1,0,1,1,1,2
983,1,1,0,0,0,5
984,1,1,0,0,0,19
985,1,0,0,1,0,12
986,0,1,0,0,0,17
987,0,1,1,1,1,15
988,1,1,0,0,1,13
989,0,0,1,1,1,1
990,0,0,1,0,0,11
991,1,1,0,1,0,21
992,0,1,0,1,0,21
993,1,1,0,0,0,23
994,0,1,1,0,0,7
